lat,lon,power_potential,mean_wind_speed,nearest_turbine_km,cf_estimated,annual_energy_kwh,annual_revenue,annual_profit,roi_percent,payback_years,lifetime_profit,annual_energy_kwh,annual_revenue,annual_profit,roi_percent,payback_years,lifetime_profit
26.0,-103.31632653061224,298.853634099094,6.695834507086163,297.0018097137283,0.18479172535430816,161877551.41037396,8093877.570518699,3593877.5705186985,2.395918380345799,41.73764883658815,-78122448.58962603,161877551.41037396,8093877.570518699,3593877.5705186985,2.395918380345799,41.73764883658815,-78122448.58962603
26.0,-103.05102040816327,249.36736122350084,6.300276461506587,270.8020758663471,0.16501382307532936,144552109.01398852,7227605.450699426,2727605.4506994262,1.8184036337996172,54.99329089606279,-95447890.98601148,144552109.01398852,7227605.450699426,2727605.4506994262,1.8184036337996172,54.99329089606279,-95447890.98601148
26.0,-102.78571428571429,370.4459952948521,7.185194119801904,244.67016198091045,0.2092597059900952,183311502.44732338,9165575.12236617,4665575.1223661695,3.1103834149107796,32.15037719163908,-56688497.55267662,183311502.44732338,9165575.12236617,4665575.1223661695,3.1103834149107796,32.15037719163908,-56688497.55267662
26.0,-102.5204081632653,380.11922928534403,7.310892837527228,218.63051689270375,0.2155446418763614,188817106.2836926,9440855.31418463,4940855.31418463,3.2939035427897534,30.359116076394134,-51182893.7163074,188817106.2836926,9440855.31418463,4940855.31418463,3.2939035427897534,30.359116076394134,-51182893.7163074
26.0,-102.25510204081633,296.9017608039914,6.649260422005607,192.72067610177146,0.18246302110028037,159837606.4838456,7991880.32419228,3491880.32419228,2.3279202161281867,42.95679865108122,-80162393.51615441,159837606.4838456,7991880.32419228,3491880.32419228,2.3279202161281867,42.95679865108122,-80162393.51615441
26.0,-101.98979591836735,591.0540223121158,8.397818493516771,167.00120048546268,0.2698909246758386,236424450.0160346,11821222.50080173,7321222.500801731,4.880815000534487,20.48838154878831,-3575549.983965397,236424450.0160346,11821222.50080173,7321222.500801731,4.880815000534487,20.48838154878831,-3575549.983965397
26.0,-101.72448979591837,455.52980308643004,7.566576358828321,141.57601312099953,0.22832881794141607,200016044.51668048,10000802.225834025,5500802.225834025,3.66720148388935,27.268749873525433,-39983955.48331949,200016044.51668048,10000802.225834025,5500802.225834025,3.66720148388935,27.268749873525433,-39983955.48331949
26.0,-101.45918367346938,180.02099007430337,5.786311804313807,116.63786423510733,0.13931559021569034,122040457.02894475,6102022.851447238,1602022.8514472377,1.0680152342981584,93.63162320967693,-117959542.97105524,122040457.02894475,6102022.851447238,1602022.8514472377,1.0680152342981584,93.63162320967693,-117959542.97105524
26.0,-101.1938775510204,551.8897057594991,8.438383713787454,92.58131303263718,0.2719191856893727,238201206.66389045,11910060.333194524,7410060.333194524,4.940040222129682,20.242750160623057,-1798793.336109519,238201206.66389045,11910060.333194524,7410060.333194524,4.940040222129682,20.242750160623057,-1798793.336109519
26.0,-100.92857142857143,436.8411525107159,7.449467546421479,70.31723098796968,0.22247337732107395,194886678.53326076,9744333.92666304,5244333.926663039,3.4962226177753597,28.60229766021874,-45113321.46673921,194886678.53326076,9744333.92666304,5244333.926663039,3.4962226177753597,28.60229766021874,-45113321.46673921
26.0,-100.66326530612245,458.8033413896472,7.630080662076409,52.19240253416446,0.23150403310382045,202797532.99894673,10139876.649947338,5639876.649947338,3.7599177666315584,26.596326357846962,-37202467.001053244,202797532.99894673,10139876.649947338,5639876.649947338,3.7599177666315584,26.596326357846962,-37202467.001053244
26.0,-100.39795918367346,234.26675600859383,6.156126896303536,43.70252312034235,0.1578063448151768,138238358.0580949,6911917.902904745,2411917.902904745,1.6079452686031634,62.191171523438044,-101761641.9419051,138238358.0580949,6911917.902904745,2411917.902904745,1.6079452686031634,62.191171523438044,-101761641.9419051
26.0,-100.13265306122449,336.1097181142927,6.93206629598266,50.02106866339611,0.196603314799133,172224503.76404053,8611225.188202027,4111225.188202027,2.7408167921346847,36.48547406998153,-67775496.23595946,172224503.76404053,8611225.188202027,4111225.188202027,2.7408167921346847,36.48547406998153,-67775496.23595946
26.0,-99.86734693877551,185.03881414274096,5.814208015348948,67.08677035836489,0.1407104007674474,123262311.07228392,6163115.553614196,1663115.5536141964,1.1087437024094644,90.19216955432098,-116737688.92771608,123262311.07228392,6163115.553614196,1663115.5536141964,1.1087437024094644,90.19216955432098,-116737688.92771608
26.0,-99.60204081632654,295.20414743344924,6.663947266641217,88.91279163536456,0.18319736333206085,160480890.2788853,8024044.513944265,3524044.5139442654,2.349363009296177,42.56472907946143,-79519109.7211147,160480890.2788853,8024044.513944265,3524044.5139442654,2.349363009296177,42.56472907946143,-79519109.7211147
26.0,-99.33673469387755,572.1142242411324,8.209111701340484,112.76809105221072,0.2604555850670242,228159092.5187132,11407954.62593566,6907954.625935661,4.605303083957107,21.714097460459648,-11840907.481286794,228159092.5187132,11407954.62593566,6907954.625935661,4.605303083957107,21.714097460459648,-11840907.481286794
26.0,-99.07142857142857,412.119344349107,7.333031480839569,137.60119251038986,0.21665157404197846,189786778.86077315,9489338.943038657,4989338.943038657,3.3262259620257715,30.0641030229639,-50213221.139226854,189786778.86077315,9489338.943038657,4989338.943038657,3.3262259620257715,30.0641030229639,-50213221.139226854
26.0,-98.8061224489796,344.28695531765794,7.092289537468244,162.96562825772048,0.20461447687341222,179242281.7411091,8962114.087055456,4462114.087055456,2.9747427247036375,33.616352489764516,-60757718.25889088,179242281.7411091,8962114.087055456,4462114.087055456,2.9747427247036375,33.616352489764516,-60757718.25889088
26.0,-98.54081632653062,141.89507215764945,5.192168774209896,188.64711483044982,0.10960843871049479,96016992.31039344,4800849.615519672,300849.6155196717,0.20056641034644782,498.5879730672015,-143983007.68960658,96016992.31039344,4800849.615519672,300849.6155196717,0.20056641034644782,498.5879730672015,-143983007.68960658
26.0,-98.27551020408163,490.2619286989117,7.626727497665117,214.53173251249788,0.23133637488325584,202650664.3977321,10132533.219886607,5632533.219886607,3.7550221465910707,26.631001388575882,-37349335.60226786,202650664.3977321,10132533.219886607,5632533.219886607,3.7550221465910707,26.631001388575882,-37349335.60226786
26.0,-98.01020408163265,319.55321414497314,6.834852606581084,240.5538262556163,0.1917426303290542,167966544.16825148,8398327.208412575,3898327.2084125746,2.598884805608383,38.478042498921226,-72033455.83174852,167966544.16825148,8398327.208412575,3898327.2084125746,2.598884805608383,38.478042498921226,-72033455.83174852
26.0,-97.74489795918367,452.3191201932134,7.488117916217762,259.19427684935835,0.2244058958108881,196579564.73033798,9828978.236516898,5328978.2365168985,3.552652157677932,28.147985100055934,-43420435.26966202,196579564.73033798,9828978.236516898,5328978.2365168985,3.552652157677932,28.147985100055934,-43420435.26966202
26.0,-97.4795918367347,471.42733897485164,7.7638039065142745,232.69664938319636,0.23819019532571373,208654611.10532522,10432730.555266261,5932730.555266261,3.955153703510841,25.28346746960397,-31345388.894674778,208654611.10532522,10432730.555266261,5932730.555266261,3.955153703510841,25.28346746960397,-31345388.894674778
